Vernier Format 2
Sin título.cmbl 8/09/2026 13:40:46 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

2.1	0.846181	-0.0542130555556	-0.528050617284	-3.97935069455	-2.27862430121	-2.84962708119
2.15	0.842751	-0.0846066666667	-0.647941820988	-4.10152374219	-2.45315722641	-3.53375305342
2.2	0.837949	-0.1209075	-0.732844907407	-4.22369678983	-2.64708269886	-3.69535761379
2.25	0.830746	-0.159971388889	-0.765662808642	-4.36332312999	-2.87979326579	-2.66108842742
2.3	0.8219995	-0.1997975	-0.73443287037	-4.52040276267	-2.94766718115	-0.840343713923
2.35	0.8106805	-0.236860555556	-0.6174	-4.66002910282	-2.94766718115	0.791862345814
2.4	0.7979895	-0.265634444444	-0.405354012346	-4.8171087355	-2.87979326579	2.44022886158
2.45	0.7835835	-0.2804025	-0.137729320988	-4.95673507566	-2.65677897248	3.03277891627
2.5	0.7691775	-0.278401666667	0.090725617284	-5.0789081233	-2.50163859453	2.21398247707
2.55	0.754943	-0.261918611111	0.141963888889	-5.20108117094	-2.44346095279	1.40595967522
2.6	0.7437955	-0.257631111111	0.0773337962963	-5.32325421858	-2.4046758583	1.30361012032
2.65	0.729904	-0.263919444444	0.168377006173	-5.44542726622	-2.30771312208	1.23896829617
2.7	0.7160125	-0.246483611111	0.347816820988	-5.55014702134	-2.26892802759	1.02888236769
2.75	0.7046935	-0.218948333333	0.351627932099	-5.67232006898	-2.2301429331	1.19048692806
2.8	0.694918	-0.204561388889	0.234224537037	-5.7770398241	-2.13318019688	1.03426918637
2.85	0.6847995	-0.1997975	0.179757407407	-5.88175957922	-2.10409137602	0.48481368111
2.9	0.6748525	-0.194366666667	0.251903858025	-5.98647933434	-2.09439510239	0.0430945494304
2.95	0.6642195	-0.171023611111	0.277205401235	-6.09119908946	-2.10409137602	-0.253180477914
3	0.6583885	-0.158446944444	0.201565432099	-6.19591884458	-2.12348392326	-0.323209120739
3.05	0.649642	-0.162829722222	0.350833950617	-6.3006385997	-2.18166156499	0.404011400926
3.1	0.640724	-0.1397725	0.754123611111	-6.42281164734	-2.09439510239	1.38979921918
3.15	0.633178	-0.0745072222222	0.902333487654	-6.51007810994	-1.98773609255	1.49214877408
3.2	0.633864	-0.0204847222222	0.540277932099	-6.61479786506	-1.97803981893	1.93925472444
3.25	0.6343785	-0.0223902777778	0.204847222222	-6.71951762018	-1.78411434648	1.93925472444
3.3	0.631806	-0.029155	0.372271450617	-6.78933079026	-1.67745533664	-0.0107736373591
3.35	0.628719	0.00876555555556	0.686370524691	-6.87659725286	-1.77441807286	-2.17627474631
3.4	0.6323205	0.0571666666667	0.744119444444	-6.96386371546	-1.94895099806	-3.29673303154
3.45	0.636265	0.0822247222222	0.777625462963	-7.06858347058	-2.18166156499	-2.84424026251
3.5	0.639352	0.124242222222	0.925729475309	-7.19075651822	-2.25923175397	-1.75071607067
3.55	0.6467265	0.195700555556	0.709184259259	-7.29547627334	-2.30771312208	-1.3844124005
3.6	0.6625045	0.206085833333	0.299966203704	-7.41764932098	-2.4046758583	-0.90498553807
3.65	0.6676495	0.207038611111	0.197595524691	-7.53982236862	-2.42406840555	-0.0969627362219
3.7	0.6820555	0.222664166667	0.187697222222	-7.66199541626	-2.4046758583	0.355530032812
3.75	0.690802	0.224855555556	0.248569135802	-7.78416846389	-2.32710566933	-0.479426862432
3.8	0.703836	0.243244166667	0.389421450617	-7.88888821901	-2.37558703744	-2.74727752629
3.85	0.715155	0.261728055556	0.54752962963	-8.01106126665	-2.62769015161	-4.50876723432
3.9	0.7287035	0.304221944444	0.565367746914	-8.15068760681	-2.91857836028	-4.4118044981
3.95	0.746368	0.331471388889	0.298695833333	-8.30776723949	-3.12220010635	-2.8981084493
4	0.7626605	0.33957	-0.118832561728	-8.46484687217	-3.24825166343	-0.296275027345
4.05	0.781011	0.32585	-0.651223611111	-8.63937979737	-3.19977029532	3.16744938325
4.1	0.7973035	0.270398333333	-1.06202962963	-8.79645943005	-2.90888208666	5.98475555237
4.15	0.808794	0.199892777778	-1.06891080247	-8.93608577021	-2.4919423209	6.51266378291
4.2	0.8161685	0.149300277778	-0.773337962963	-9.04080552533	-2.16226901775	4.98819409675
4.25	0.822514	0.124242222222	-0.480835185185	-9.14552528045	-1.97803981893	3.03816573495
4.3	0.8281735	0.110236388889	-0.359461882716	-9.23279174305	-1.91016590357	1.99312291123
4.35	0.8336615	0.0951825	-0.377776388889	-9.33751149817	-1.84229198822	2.0523779167
4.4	0.838292	0.0706008333333	-0.371689197531	-9.42477796077	-1.65806278939	1.30899693899
4.45	0.8405215	0.0504972222222	-0.239358950617	-9.49459113085	-1.63867024215	-0.711060065629
4.5	0.842408	0.0472577777778	-0.122590740741	-9.58185759345	-1.75502552562	-2.32710566933
4.55	0.845152	0.046305	-0.15604382716	-9.66912405605	-1.91986217719	-2.95197663609
4.6	0.847553	0.0361102777778	-0.281598765432	-9.77384381117	-2.08469882877	-2.69340933949
4.65	0.849268	0.0157208333333	-0.373594753086	-9.87856356629	-2.22044665948	-1.75071607067
4.7	0.8490965	-0.00562138888889	-0.387198302469	-10.0007366139	-2.25923175397	-0.824183257888
4.75	0.8484105	-0.0224855555556	-0.405301080247	-10.105456369	-2.26892802759	-0.641031422802
4.8	0.8470385	-0.0432561111111	-0.474536265432	-10.2276294167	-2.28832057484	-1.21203420277
4.85	0.8442945	-0.0686952777778	-0.566479320988	-10.3323491718	-2.35619449019	-2.29478475725
4.9	0.8405215	-0.101470833333	-0.623169598765	-10.4545222194	-2.56951250988	-2.30017157593
4.95	0.834176	-0.135008611111	-0.592468981481	-10.5941485596	-2.68586779335	-0.468653225072
5	0.8268015	-0.1637825	-0.488510339506	-10.7337748998	-2.60829760437	1.34670466975
5.05	0.8175405	-0.185791666667	-0.339188888889	-10.8559479474	-2.48224604728	1.99312291123
5.1	0.807765	-0.197606111111	-0.191190740741	-10.978120995	-2.4046758583	2.39174749347
5.15	0.797475	-0.202560555556	-0.0843737654321	-11.1002940427	-2.25923175397	2.91965572401
5.2	0.787528	-0.2049425	-0.00788688271605	-11.2050137978	-2.09439510239	3.03277891627
5.25	0.776895	-0.204751944444	0.0638361111111	-11.3097335529	-1.92955845082	2.52103114177
5.3	0.766262	-0.192746944444	0.0205905864198	-11.3970000155	-1.80350689373	1.22819465881
5.35	0.758373	-0.194843055556	-0.145033950617	-11.4842664781	-1.79381062011	-0.253180477913
5.4	0.7479115	-0.215613611111	-0.149427314815	-11.5715329407	-1.88107708271	-0.737994159022
5.45	0.736078	-0.222664166667	0.0751635802469	-11.6762526958	-1.91016590357	-0.32320912074
5.5	0.724416	-0.206466944444	0.258467438272	-11.7635191584	-1.91016590357	0.102349554901
5.55	0.7149835	-0.182171111111	0.150115432099	-11.8682389136	-1.89077335633	0.258567296591
5.6	0.7070945	-0.177788333333	-0.21178132716	-11.9555053762	-1.83259571459	-0.565615961294
5.65	0.699034	-0.207515	-0.469084259259	-12.0427718388	-1.92955845082	-1.75610288935
5.7	0.687029	-0.248960833333	-0.254285802469	-12.1474915939	-2.0556100079	-2.20859565839
5.75	0.6717655	-0.248293888889	0.314840123457	-12.252211349	-2.1428764705	-2.64492797139
5.8	0.6611325	-0.211897777778	0.772649845679	-12.3569311041	-2.30771312208	-2.99507118552
5.85	0.6501565	-0.170547222222	1.13724614198	-12.4791041518	-2.52103114177	-1.8207447135
5.9	0.6398665	-0.0555469444444	0.738773302469	-12.6187304919	-2.55011996264	0.490200499789
5.95	0.6535865	-0.0967069444444	0.318915895062	-12.7409035396	-2.43376467917	2.13856701556
6	0.625975	-0.0638361111111	0.547264969136	-12.8630765872	-2.27862430121	2.61799387799
6.05	0.6463835	-0.0272494444444	0.521116512346	-12.9677963423	-2.13318019688	2.16550110895
6.1	0.6234025	0.00686	0.239200154321	-13.0725160974	-2.06530628153	1.55679059823
6.15	0.6494705	0.00219138888889	-0.116874074074	-13.1772358526	-1.9683435453	0.75954143374
6.2	0.626318	-0.0504972222222	0.348610802469	-13.2645023152	-1.9683435453	-0.263954115269
6.25	0.6371225	0.0288691666667	0.985648611111	-13.3692220703	-2.04591373428	-0.339369576776
6.3	0.631463	0.0736497222222	1.16773503086	-13.4739418254	-2.04591373428	0.301661846023
6.35	0.642439	0.159780833333	1.02799429012	-13.5786615805	-1.9683435453	0.118510010936
6.4	0.6501565	0.190936666667	0.580135802469	-13.6659280431	-1.97803981893	-1.04504282373
6.45	0.662676	0.201607777778	0.399002160494	-13.7706477982	-2.09439510239	-1.86383926293
6.5	0.6690215	0.226094166667	0.319762808642	-13.8753675534	-2.22044665948	-1.71300833992
6.55	0.686	0.239337777778	0.192725771605	-13.997540601	-2.26892802759	-1.47060149936
6.6	0.693889	0.236765277778	0.228031481481	-14.1022603561	-2.3174093957	-2.11701974084
